51
74.1	10.7	1
90	8.6	1
90	11.8	1
78.2	10.6	1
94.5	11.7	1
56.8	9.1	1
81	11.8	1
79.3	11.9	1
84.4	13.8	1
75.2	9.6	1
68.9	13.4	1
97.1	11.4	1
78.4	8.8	1
89.2	10.8	1
73	8.3	1
73.7	10.3	1
73.6	9.7	1
58.6	7.2	1
69.7	7.9	1
82.6	8.9	1
75.8	6.7	1
97.6	10.8	1
100.2	8.5	1
82.2	9.1	1
90.5	9.6	1
65.2	12.6	1
93.4	11.3	0
102.7	14.3	0
110	18.7	0
98.1	12.1	0
120.5	13	0
97.9	10.2	0
101	24.9	0
95.6	14.1	0
87.5	13.9	0
79.9	15.5	0
93	15.4	0
109.6	14.9	0
96.8	19	0
101.9	15.1	0
84.3	18.3	0
80.7	12	0
81.3	12.1	0
102.8	16.3	0
82.1	12.8	0
100.3	18.3	0
92.9	12.2	0
77.5	19.3	0
104.2	16	0
111.9	13.6	0
