300		
75.2	5.7	1
69.1	10.2	1
86.7	8.6	1
78.3	10	1
81.5	10.8	1
82	14.2	1
83.8	12.1	1
78.5	10.6	1
78.5	8.1	1
86.6	9.3	1
69.1	11.8	1
88.5	9.7	1
83.5	10.3	1
60.8	9.2	1
83.7	7	1
60	7.2	1
83.3	8.6	1
90.6	7.1	1
78.2	9.2	1
66.7	12.1	1
57.4	9.5	1
85.8	11	1
76.5	10.1	1
79	11.9	1
88.2	9.5	1
89.1	9.3	1
75.2	8.8	1
73.8	7.5	1
88.9	10.1	1
78.5	6.4	1
78.7	7.6	1
77	8.6	1
74	8.6	1
58.7	11.7	1
68.6	13	1
80	10.6	1
92	8.3	1
85.5	9	1
86.7	9.1	1
89.2	13.1	1
91.8	8.4	1
73.5	7.6	1
87.7	12.5	1
94.1	10.6	1
64.3	4.5	1
102.8	8.9	1
90.3	9.4	1
72.3	10.8	1
70.2	7.5	1
91.8	9.3	1
77	10.6	1
85.8	5.1	1
91.6	13.2	1
60.3	8.6	1
90.2	9.9	1
89	12.3	1
91.2	9	1
69.4	12.2	1
73.6	8.3	1
66.3	12	1
72	10.4	1
70.8	9.9	1
64.8	11.4	1
64.2	10.8	1
72.5	9.4	1
66.3	10.4	1
91.1	7.7	1
65.6	8.3	1
78.1	9.9	1
70.1	10.6	1
90.6	8.8	1
81	9.8	1
87.9	7.9	1
84.6	11.1	1
84.2	13.7	1
90.8	10.9	1
82.4	9.8	1
97	6.9	1
96.7	14.2	1
93.2	11	1
90.6	10.8	1
93.6	9.9	1
91	6.5	1
91.6	8.5	1
82.4	8.5	1
92.6	11.9	1
61.2	8.2	1
83.2	14.5	1
85.2	8.7	1
77.5	11.9	1
83.3	8.9	1
99.1	14.8	1
74	10	1
74.5	9.5	1
91.1	10.8	1
79.4	12.9	1
73.1	8.5	1
65.6	14.6	1
79.6	11.5	1
99.6	9	1
71.4	10.4	1
79.2	5.8	1
98	8.5	1
84.1	10	1
94.3	10.6	1
80.5	10.3	1
64.4	10.3	1
70.7	8.3	1
84.7	10.4	1
96.7	9.8	1
77.7	6	1
79.6	11.8	1
64.8	9.5	1
78.7	13	1
77.5	10.8	1
68.9	9.3	1
75.5	9	1
87.5	9.9	1
74.2	10.5	1
93.6	11.2	1
95.3	9.9	1
73.1	13	1
88.3	11	1
67.6	10.8	1
74.1	10.7	1
90	8.6	1
90	11.8	1
78.2	10.6	1
94.5	11.7	1
56.8	9.1	1
81	11.8	1
79.3	11.9	1
84.4	13.8	1
75.2	9.6	1
68.9	13.4	1
97.1	11.4	1
78.4	8.8	1
89.2	10.8	1
73	8.3	1
73.7	10.3	1
73.6	9.7	1
58.6	7.2	1
69.7	7.9	1
82.6	8.9	1
75.8	6.7	1
97.6	10.8	1
100.2	8.5	1
82.2	9.1	1
90.5	9.6	1
65.2	12.6	1
93.4	11.3	0
102.7	14.3	0
110	18.7	0
98.1	12.1	0
120.5	13	0
97.9	10.2	0
101	24.9	0
95.6	14.1	0
87.5	13.9	0
79.9	15.5	0
93	15.4	0
109.6	14.9	0
96.8	19	0
101.9	15.1	0
84.3	18.3	0
80.7	12	0
81.3	12.1	0
102.8	16.3	0
82.1	12.8	0
100.3	18.3	0
92.9	12.2	0
77.5	19.3	0
104.2	16	0
111.9	13.6	0
115.2	13.3	0
104.7	14.6	0
71.8	13.3	0
83.7	16.1	0
101.1	18.5	0
113.4	16.1	0
92.5	15.8	0
85.1	16.1	0
86.8	10.3	0
96.5	16.2	0
102.6	15.5	0
107.4	13.5	0
83	10.8	0
94.7	10.6	0
99.1	11.6	0
111.4	12.8	0
102.3	14.1	0
100.3	16.8	0
87.9	14.6	0
100	16.6	0
113.5	16.5	0
95.9	14.7	0
98.8	13.5	0
87.5	12.5	0
94.5	16.4	0
90.5	12	0
99.6	16	0
99	20.4	0
